Cancion,Artista,Letra
Debajo del puente,Ariel Rot,"Debajo del puente algo cambia de repente

el ambiente se perturba peligrosamente

debajo del puente lentamente anochece

las sombras de siempre comienzan a verse

Debajo del puente todos juegan fuerte

los hombres se regalan, las mujeres se venden

debajo del puente nadie piensa en la muerte

pero ya gobierna descaradamente



Y las chicas del puerto y sus hombres valientes

lloran en sus espaldas cuando todo se duerme

la mirada se cruza, el reloj se detiene

porque el tiempo es distinto aqui debajo del puente



Si quieres saber

cual es la verdad

tienes que atreverte

tienes que bajar



Debajo del puente nada esta prohibido

se baten a duelo los mejores amigos

debajo del puente han quemado los archivos

y el hombre más rico se convierte en mendigo



Y las chicas del puerto y sus hombres valientes

lloran en sus espaldas cuando todo se duerme

la mirada se cruza, el reloj se detiene

porque el tiempo es distinto aqui debajo del puente



Si quieres saber

cual es la verdad

tienes que atreverte

tienes que bajar



Debajo del puente...



Debajo del puente hay que aprender a moverse

los errores se pagan eternamente

debajo del puente tu no puedes perderte

debajo del puente nadie es inocente



Y las chicas del puerto y sus hombres valientes

lloran en sus espaldas cuando todo se duerme

la mirada se cruza, el reloj se detiene

porque el tiempo es distinto aqui debajo del puente



Si quieres saber

cual es la verdad

tienes que atreverte

tienes que bajar



Debajo del puente...



Debajo del puente, debajo del puente

ahora ven a verme, estoy debajo del puente"
Devuélveme a mi chica,Hombres G,"Estoy llorando en mi habitación

todo se nubla a mi alrededor

ella se fue con un niño pijo

tiene un Ford fiesta blanco

y un jersey amarillo.

Por el parque la veo pasar

cuando se besan lo pasa fatal

voy a vengarme de ese marica

voy a llenarle el cuello

de polvos pica pica.



Sufre mamón, devuelveme a mi chica

o te retorceras entre polvos pica pica

Sufre mamón, devuelveme a mi chica

o te retorceras entre polvos pica pica.



Le he quemado su jersey

y se ha comprado cinco o seis

voy a destrozarle el coche

lo tengo preparado voy esta noche.



No te reiras nunca mas de mi

lo siento nene vas a morir

tu me quitaste lo que mas queria

y volvera conmigo volvera algáºn dia."
Djobi djobá,Gipsy Kings,"Ay Nina

Yo te encuentro

Solita por la calle

Yo me siento amorado

Yo me siento triste solo

Djobi Djoba

Cada dia te quiero mas

Djobi djobi djobi djoba

Cada dia te quiero mas

Djobi djobi djobi djoba

Cada dia te quiero mas



Que lo me importa

Que lo distancia

Ya nos separe

Yo me contento me retir

Y no me diga ay

para guarja ja



Djobi Djoba

Cada dia te quiero mas

Djobi djobi djobi djoba

Cada dia te quiero mas

Djobi djobi djobi djoba

Cada dia te quiero mas"
El gran varón,Willie Colón,"En la sala de un hospital a las 9.43
nacio simon
es el verano del 63
el orgullo de don Andres por ser varon
fue criado como los demas
con mano dura

con severidad

nunca opino

cuando crescas vas a estudiar

la misma vaina que tu papa oyelo bien

tendras que ser un gran varon....

Al extranjero se fue Simon

lejos de casa se le olvido aquel sermon,

cambio la forma de caminar

usaba falda lapiz labial

y un carteron

cuenta la gente que un dia el papÃ¡

fue a visitarlo sin avisar

vaya que error

una mujer le abrio al pasar

le dijo hola, que tal papa,como te va?

no me conoces yo soy Simon

Simon tu hijo, el gran varon

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

se dejo llevar de lo que dice la gente

su padre jamas le hablo

lo abandono para siempre

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

y no te quejes Andres no te quejes por nada

si del cielo te caen limones

aprende a hacer limonada

no se puede corregir a la naturalesa

palo nace doblado jamas su tronco enderesa

y mientras pasan lo aÃ±os el viejo sediendo un poco

Simon ya ni le escribia Andres estaba fuirioso

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

por fin hubo noticias de donde si hijo estaba Andres nunca olvido el dia de esa triste llamada...



En la sala de un hospital

de una extraÃ±a enfermedad murio Simon

es el verano del 93

al enfermo de la cama 10 nadie lloro

Simon Simoooon Simooooon

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

ay que tener compasion basta ya de moraleja

en que este libre pecado vivir en la primera tierra

no se puede corregir a la naturaleza

palo nace doblado jamas su tronco enderesa

el que nunca perdona tiene destino sierto de vivir

amargo recuerdo de su propio infierno....





Letras transcritas por Diego Vanegas"
El ritual de la banana,Los Pericos,"El ritual de la banana

The Ritual of the banana

the ritual of the banana

find the skin of ganja's

Why don't you come to my house?

Why don't you come to my house?



We celebrate her arrival

We have the new god Banana

We have the new god Banana



Religion is no longer of a man

Why don't you come to my house?

Why don't you come to my house?

We celebrate her arrival



We all be, big a monkey man

Weâll eat banana, night and day

Weâll invite every one to meet us

and we'll worship the big Banana Queen



Why don't you come to my house?

Why don't you come to my house?

We celebrate her arrival



We all be, big a monkey man

Weâll eat banana, night and day

Weâll invite every one to meet us

and we'll worship the big Banana Queen



Why don't you come to my house?

Why don't you come to my house?

We celebrate her arrival



We all be, big a monkey man

Weâll eat banana, night and day

Weâll invite everyone to meet us

and weâll worship the big Banana Queen



The Ritual

The Ritual

The Ritual Banana yeah

yeah, yeah, yeah, yeah."
En algún lugar,Duncan Dhu,"En algún lugar de un gran país

Olvidaron construir

Un hogar donde no queme el sol

Y al nacer no haya que morir

Y en las sombras

Mueren genios sin saber

De su magia

Concedida, sin pedirlo

Mucho tiempo antes de nacer



No hay camino que

Llegue hasta aquí

Y luego pretenda salir

Con el fuego de

El atardecer arde la hierba



En algún lugar de un gran país

Olvidaron construir

Un hogar donde no queme el sol

Y al nacer no haya que morir

Un silbido cruza el pueblo

Y se ve, un jinete

Que se marcha con el viento

Mientras grita

Que no va a volver



Y la tierra aquí

Es de otro color

El polvo no te deja ver

Los hombres ya no

Saben si lo son

Pero lo quieren creer

Las madres que ya

No saben llorar

Ven a sus hijos partir

La tristeza aquí

No tiene lugar

Cuando lo triste es vivir



Na na na na na na

na na na na na na

na na na na na na na



Na na na na na na

na na na na na na

na na na na na na na



Na na na na na na

na na na na na na

na na na na na na na



Na na na na na na

na na na na na na

na na na na na na"
En la ciudad de la furia,Soda Stereo,"Me verás volar

Por la ciudad de la furia

Donde nadie sabe de mi

Y yo soy parte de todos

Nada cambiará

Con un aviso de curva

En sus caras veo el temor

Ya no hay fábulas

En la ciudad de la furia



Me verás caer

Como un ave de presa

Me verás caer

Sobre terrazas desiertas

Te desnudaré

Por las calles azules

Me refugiaré

Antes que todos despierten



Me dejarás dormir al amanecer

Entre tus piernas

Entre tus piernas

Sabrás ocultarme bien y desaparecer

Entre la niebla

Entre la niebla

Un hombre alado extraña la tierra.



Me verás volar

Por la ciudad de la furia

Donde nadie sabe de mi

Y yo soy parte de todos



Con la luz del sol

Se derriten mis alas

Solo encuentro en la oscuridad

Lo que me une con la ciudad de la furia



Me verás caer

Como una flecha salvaje

Me verás caer

Entre vuelos fugaces

Buenos Aires se ve tan susceptible

Ese destino de furia es

Lo que en sus caras persiste



Me dejarás dormir al amanecer

Entre tus piernas

Entre tus piernas

Sabrás ocultarme bien y desaparecer

Entre la niebla

Entre la niebla

Un hombre alado prefiere la noche



Me verás volver

Me verás volver

A la ciudad de la furia"
Es la vida que me alcanza,Celeste Carballo,"cuando me levanto temprano en la mañana
me cebo unos mates why riego las plantas
salgo a la terraza, hay un sol que camina
todo sigue adentro, prosecion que lastima

es la vida que me alcanza

es la vida que me alcanza



si estoy en mi casa why dejo de fumar

es porque mañana tengo que ir a cantar

si es que alguna tarde voy sola al cine

es porque no tengo nadie que me mime



es la vida que me alcanza

es la vida que me alcanza



no era tan facil como me parecia

llevarme mis cosas seguir sola en la vida

dejar al costado todo lo que pasamos

para olvidarme de cuanto nos amamos



es la vida que me alcanza

es la vida que me alcanza



miro para atras why me parece un sueño

nunca imagine llegar aeste momento

canto mis canciones, me gano la vida

me compre una casa que es mi guarida



es la vida que me alcanza

es la vida que me alcanza



sufro como loca si me acuerdo del campo

cuando iba a la escuela con mi amigo el caballo

yo tenia un petizo que era viejo why mañero

le contaba historias que ahora ni recuerdo



es la vida que me alcanza

es la vida que me alcanza"
Es por amor,G I T,"Es por amor
que al mudo yo le hago frente
y por amor
si caigo me levanto siempre;
y al costado del camino
veo ángeles caídos.

Es por amor
Que nunca voy a abandonarte
Y por amor
Espero lo que vas a darme
Y al costado del camino
Veo ángeles caídos

Hay una fiesta...
Y es esta noche
Baila conmigo...
Así te pido dame
Uh uh uh... Mirame... Uh uh uh

Es por amor
Que uno hace lo que siente
Y por amor
Yo sigo y sigo aunque me cueste.
Y al costado del camino
Veo ángeles caídos

Hay una fiesta...
Y es esta noche
Baila conmigo...
Así te pido dame
Uh uh uh... Mirame... Uh uh uh
"
Fanky,Charly García,"No voy a parar

yo no tengo dudas

no voy a bajar

déjalo que suba.

Por eso no quiero parar

ya no tengo dudas

no voy a bajar

déjalo que suba.



Gozar, es tan parecido al amor

Gozar es tan diferente al amor.

El cambió una dirección

otra oportunidad merece alguna decisión.



Basta!



No voy a parar

yo no tengo dudas

no voy a bajar

déjalo que suba.



Gozar es tan parecido al amor

Gozar es tan diferente a matar.

Cuando pienso en el fin

cuando pienso en todo lo que dí.



Cuando miro el final

cuando sueño que todo va a acabar.

Gozar es tan necesario, mi amor

Gozar es tan diferente al amor.



(Gracias a belulh por esta letra)"
Fiesta En América,Chayanne,"Fiesta en America, Fiesta en america

Fiesta en America, fiesta en America

Hoy corren malos tiempos yo la sabes buen amigo

La guerra y la mentira no paracen terminar

Lo cierto es que de pronto sin saber como ni cuando

Lloraron las guitarras entonando una cancion

Milliones de latinos con un solo corazon



Fiesta en America, fiesta en America 



Quizas sera la fiebre que llevamos en la sangre

Quizas sera la forma que tenemos al sentir

La musica y el alma que le damos a la vida

La fuerza y la ternura cuando suena una cancion

Acentos diferentes con un solo corazon



Por que hoy es Fiesta en America

Fiesta en America



Ven a olvidar no dudes mas amigo

Ven a bailar, ven a sonar conmigo

Bajo la magia le la luna tropical

Nos uniran nuestras palabras al cantar



Oye amigo ven a bailar conmigo

El destino nos abrira el camino

El destino no lo podemos evitar



Por que hoy es Fiesta en America

Fiesta en America

Fiesta en america, fiesta en america

Fiesta en america



Fiesta en America, Fiesta en america"
Gente que no,Todos tus muertos,"Hay gente mentirosa, gente policía

gente de mierda, gente que no

gente que no, gente que no.

Hay gente que te dice que tenés que trabajar

hay gente que te dice que tenés que estudiar

gente que te dice que tenés un problema existencial.

gente que no, gente que no, gente que no.



Tus viejos te molestan te quieren ver triunfar

te quieren bien arriba en la escala social

te llenan bien las bolas te quieren matar

y vos sólo querés mandarlos a cagar!



Gente que te escucha, gente que no

gente que te banca, gente que no

gente que te invita a su casa a dormir

gente que te deja en la calle morir.



y vos...si, vos: no mires al costado

no te hagas el pescado, no te creas que le hablo

al de al lado porque te hablo a vos, quién sos?



Que carajo estás haciendo de tu vida

qué carajo vas a hacer con vos



Querés ser policía!

querés ser policía!

querés ser policía!

querés ser policía!



Yo no, gente que no."
Hasta Que Te Conocí,Juan Gabriel,"No sabia, de tristezas, ni de lagrimas, 
ni nada, que me hicieran llorar

yo sabia de cariño, de ternura, 
porque a mí desde pequeño, 
eso me enseño mama, eso me enseño mama, 
eso y muchas cosas mas

yo jamás sufrí, yo jamás llore, 

yo era muy feliz, yo vivía muy bien

Yo vivía tan distinto, algo hermoso, 

algo divino, lleno de felicidad

yo sabia de alegrías, la belleza de la vida, 

pero no de soledad, pero no de soledad, 

de eso y muchas cosas mas

yo jamás sufrí, yo jamás llore, 

yo era muy feliz....yo vivía muy bien

Hasta que te conocí, 

vi la vida con dolor

no te miento fui feliz, 

aunque con muy poco amor

y muy tarde comprendí, 

que no te debía amar

porque ahora pienso en ti, 

mas que ayer, mucho más

(bis)

Yo jamás sufrí, yo jamás lloras, 

yo era muy feliz... pero te encontré

ahora quiero que me digas

si valió o no la pena

haberte conocido

porque no te creo mas

y es que tu fuiste muy mala

si muy mala conmigo

por eso no te quiero

no te quiero ver jamás

vete, vete, vete, 

vete vete de mi pena

vete no te quiero

no te quiero ver jamas 

vete."
Imágenes paganas,Virus,"Vengo agotado de cantar en la niebla. 
por la autopista junto al mar hay gitanos.
van celebrando un ritual ignorando.
mis propios dioses ya no están, espejismos 
Un remolino mezcla
los besos y la ausencia. 
imágenes paganas
se desnudarán en sueños. 
En el espejo, reflejos viajeros. 
Un apagón sentimental 
la ruta pasa.
vuelve el deseo y la ansiedad
de este cuerpo 
mi boca quiere pronunciar 
el silencio. 
Un remolino mezcla 
los besos y la ausencia. 
imagenes paganas 
se desnudaran en sueños. 
...{instrumental}
Un remolino mezcla 
los besos y la ausencia. 
imagenes paganas 
se desnudaran en sueños. 
Un remolino mezcla 
los besos y la ausencia. 
imagenes paganas 
se desnudaran en sueños."
Isabel,Luis Miguel,"Tienes el pelo empapado, 
cuerpo de sirena

Sabes a chicle de menta, 
canela y coral

Me gusta la manera 

que tienes de mirar

Me gusta tu melena 

flotando revuelta

Entre la arena y el mar





Tienes dos ojos rasgados 

y la piel tostada

Hueles a flor de lavanda 

con chispas de sal



Me gusta la manera 

que tienes de bailar

Me gusta tu melena 

flotando revuelta

Entre la arena y el mar



Isabel, 

sueño de mis sueños

Quiéreme Isabel, 

como yo te quiero

Quiéreme Isabel

Quiéreme Isabel, quiéreme



Isabel, 

flor de limonero

Quiéreme Isabel, 

como yo te quiero

Quiéreme Isabel

Quiéreme Isabel, quiéreme



Siempre me pongo nervioso

Cuando estoy contigo 

Hay un ciclón en mi oído

No sé qué decir



Quisiera que supieras

Que loco estoy por ti

Me llevas de cabeza

Bendita sirena, 

estoy sufriendo por ti



Isabel,

sueño de mis sueños... etc."
Juanito Alimaña,Héctor Lavoe,"La calle es una selva de cemento
y de fieras salvajes, cómo no
ya no hay quien salga loco de contento
donde quiera te espera lo peor
donde quiera te espera lo peor

Juanito Alimaña con mucha maña llega al mostrador
saca su cuchillo sin preocupación
dice que le entreguen la registradora
saca las billetes, saca un pistolón. ¡Pum!

Sale como el viento
en su disparada
y aunque ya lo vieron
nadie ha visto nada
Juanito Alimaña pa' la fechoria
se toma su caña
fabrica su orgia.

La gente le teme
por que es de cuidado
pa' meterle mano
hay que ser un bravo
si lo meten preso
sale al otro dia
porque un primo suyo
'ta en la policia.

Juanito Alimaña
si tiene maña es malicia viva
y siempre se alinea
con el que esta arriba
y aunque a medio mundo
le robó su plata
todos lo comentan
nadie lo delata
y aunque a todo el mundo
le robó la plata
todos lo comentan
nadie lo delata...

a la la ley ley ley ley

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña

cuando él era muchachito
las cositas que pedia...
y si tu no se las daba, las mangaba,
como quiera la cogia

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña

ese... ese tumba lo que ve
si lo ve mal puesto,
anda cuida tu cartera,
ese si que sabe de eso

En su mundo
mujeres, fumada, y caña (atracando)
atracando (atracando)
vive Juanito Alimaña

si el otro dia lo encontré
y guilla'o, él me decia
tumba aqui lo que tu quieras
pues mi primo es policia

En su mundo
mujeres, fumada, y caña (ese es)
atracando (ese es)
vive Juanito Alimaña

oye... como alma que lleva el diablo
se tira su disparada
y aunque la gente lo vieron
no lo ratean porque nadie ha visto nada

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña

el rey de las fechorias
ayer me dijo Facundo
todo el mundo lo conoce,
óyeme, en el bajo mundo

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña

mira mira le las manos
en ellas no tiene un callito
ese nunca ha trabajado
y siempre anda bien bonito

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña
(2x)

Oye, ayer él iba muy triste
y llorando asi bajaba
vengo de un velorio, brother,
el de Pedrito Navajas

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña

Mira, la gente le teme al tipo
porque el hombre es de cuidado
diganme a quién en el barrio
los chavos él no le ha tumbado

En su mundo
mujeres, fumada, y caña
atracando
vive Juanito Alimaña"
La bifurcada,Memphis la blusera,"Si te vas, no, no, no me voy a matar. 
Sabes, mejor, llevate si queres el televisor. 
Mientras haces la valija, escucha esta canciÃ³n. 

Si te vas, no, no, no, no voy a llorar. 
Sabes, mejor, yo desconocia tu inclinaciÃ³n. 

Si te llevas la cama, chuchi, dejame el colchon. 



Te vas con tu amiga, feminista perdida, 

tus modernos inventos, que son puro cuento. 



Si te vas, no, no, no te voy a extranar. 

Sabes, mejor, no queda otra que la separaciÃ³n. 



Te decidiste, te definiste, sos feminista why yo machista. 

Anda por la sombra why cerra el portÃ³n."
La chica del Bikini Azul,Luis Miguel,"Sólo y triste bajo el sol

En la playa busco amor

Debe haber un lugar para mí

Gentes vienen, gentes van

Olas, agua, luz, y sal

Y en mi piel el calor sube más



De pronto flash

la chica del bikini azul

En pronto flash

cambió el color del mar



una y no más 

es ella, es mi oportunidad

Yo tengo el as

Y no puedo fallar



De nuevo flash, 

la chica del bikini azul

Me mira y flash

hablamos sin hablar



No es posible, no es verdad

Mi cabeza va a estallar

Ya no sé si estoy bien o estoy mal



De pronto flash

La chica del bikini azul

De pronto flash... etc."
La Cita,Galy Galiano,"Pasa y siéntate, tranquilízate
Al fin ya estás aquí, qué más te da
Imagínate, que yo no soy yo
Que soy el otro hombre que esperabas ver
Un desconocido que te ha escrito verso
Y te dibujó la luna, en un trozo de papel
Un amante improvisado
Misterioso, apasionado
Que te dió una cita, en este hotel
Desnúdate ahora
Y apaga la luz un instante
Y hazme el amor, como lo haces
Con esos amantes
Te juro que hoy es la última vez
Que te burlas de mí
Que me engañas
Y fueron mis manos
Las que te escribieron la carta
Han sido mis celos
Los que te pusieron la trampa
Y es mi corazón El que llora de pena por dentro
Pero te dejo y me marcho, para siempre
Imagínate, que yo no soy yo
Que soy el otro hombre que esperabas ver
Un desconocido que te ha escrito verso
Y te dibujó la luna, en un trozo de papel
Un amante improvisado,
Misterioso, apasionado
Que te dió una cita, en este hotel
Desnúdate ahora
Y apaga la luz un instante
Y hazme el amor, como lo haces
Con esos amantes
Te juro que hoy es la última vez
Que te burlas de mí
Que me engañas
Y fueron mis manos
Las que te escribieron la carta
Han sido mis celos
Los que te pusieron la trampa
Y es mi corazón
El que llora de pena por dentro
Pero te dejo y me marcho, para siempre
Desnudate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Te juro que hoy es la última vez
Que te burlas de mí
Que me engañas y me hieres
Y fueron mis manos
Las que te escribieron la carta
Han sido mis celos
Los que te pusieron la trampa
Fue sorpresa para ti,
Hallarme en el cuarto
En lugar de tu amante
Palideciste y te pusiste muy nerviosa
Desnudate ahora y apaga la luz un instante
Y hazme el amor como lo haces con esos amantes
Es mi corazón el que llora
De pena por dentro,
Pero me marcho para siempre, para siempre
Y fueron mis manos Las que te escribieron la carta
Han sido mis celos
Los que te pusieron la trampa
Imagina que soy tu mejor amante
Hazme el amor y luego adios"
La colina de la vida,Charly García,"Podés pasear en limousine
Cortar las flores del jardín
Podés cambiar el sol
Y esconderte si no quieres verme
Puedes ver amanecer
Con caviar desde un hotel
Y no tienes un poquito de amor para dar
Yendo de la cama al living
Sientes el encierro
Yendo de la cama al living
Podés saltar de un trampolín
Batir un record en patín
Podés hacer un gol
Podés llevar tu luna al cielo
Puedes ser un gran campeón
Jugar en la Selección
Y no tienes un poquito de amor para dar
Yendo de la cama al living
Sientes el encierro
Yendo de la cama al living
Oh no no no
No hay ninguna vibración
Aunque vives en el mundo de cine
No hay señales de algo que vive en mí
Voy yendo de la cama al living
Sientes el encierro
Voy yendo de la cama al living"
La Fuerza Del Destino,Mecano,"Nos vimos tres o cuatro veces

por toda la ciudad.

una noche en el bar del oro

me decidí a atacar.

Tú me dijiste diecinueve

no quise desconfiar

pero es que ni mucho ni poco

no vi de dónde agarrar.

Y nos metimos en el coche

mi amigo, tu amiga tú y yo

te dije nena dame un beso

tú contestaste que no.

Empezamos mal y yo que creía

que esto era un buen plan.

Aquella noche fue un desastre

no me comí un colín

éstas son sólo un par de estrechas

nos fuimos a dormir.

Pero la fuerza del destino

nos hizo repetir

dos cines y un par de conciertos

y empezamos a salir.

No sé si esa cara tan rara

un ojo aquí y un diente allá

o el cuerpecillo de gitana

mujer a medio terminar.

Tu corazón fue lo que me

acabó de enamorar.

Y nos metimos en el coche

mi amigo, tu amiga, tú y yo

te dije nena dame un beso

tú contestaste que no.

Empezamos mal y yo que creía

que esto era un buen plan.

Y desde entonces hasta ahora

el juego del amor

nos tuvo tres años jugando

luego nos separó.

Pero la fuerza del destino

nos hizo repetir

que si el invierno viene frío

quiero estar junto a ti."
La gota fría,Carlos Vives,"Acordate Moralito de aquel día
qu eestuviste en Urumita
y no quisiste hacer parranda
Te fuiste de mañanita
sería de la misma rabia (bis)


En mis notas soy extenso

a mi nadie me corrije (bis)

para tocar con Lorenzo

mañana sábado, día e´ la Virgen (bis)



Me lleva el o me lo llevo yo

pa' que se acabe la vaina (bis)

Ay ! Morales a mi no me lleva

porque no me da la gana

Moralito a mi no me lleva

porque no me da la gana.



Qué cultura, que cultura va a tener

un indio chumeca

como Lorenzo Morales

que cultura va a tener si nació en los cardonales (bis).



Morales mienta mi mama

solamente pa' ofender (bis)

para que él también se ofenda

ahora le miento la de él. (bis)



Me lleva el o me lo llevo yo

pa' que se acabe la vaina (bis)

Ay Morales a mi no me lleva

Porque no me da la gana

Moralito a mi no me lleva

Porque no me da la gana



Moralito, Moralito se creía

que el a mí, que él a mí

me iba a ganar

Y cuando me oyó tocar

le cayo la gota fría (bis)

Al cabo e´ la compartía

el tiro le salió mal (bis)"
La Incondicional,Luis Miguel,"Tú, la misma siempre tú

Amistad, ternura qué sé yo

Tú, mi sombra has sido tú

La historia de un amor

Que no fue nada

Tú, mi eternamente tú

Un hotel, tu cuerpo y un adios

Tú, mi oculta amiga tú

Un golpe de pasión

Amor de madrugada



No existe un lazo entre tú y yo

Nada de amores

Nada de nada



Tú, la misma de ayer

La incondicional

La que no espera nada

Tú, la misma de ayer

La que no supe amar

No sé por qué



Tú, intensamente tú

Soledad, cariño yo qué sé

Tú, mis horas bajas tú

Un cuerpo de mujer

Un par de rosas blancas



No existe un lazo entre tú y yo

No hubo promesas

Ni juramentos

Nada de nada"
La muralla verde,Enanitos Verdes,"Estoy parado sobre la muralla que divide

todo lo que fué de lo que será.

Estoy mirando como esas viejas ilusiones

pasando la muralla se hacen realidad.

Pero como el amor de ayer,

pero como el amor de ayer,

vuelve a desaparecer,

desaparecer...



Estoy parado sobre la muralla que divide

todo lo que amé de lo que amaré.

Estoy mirando como mis heridas se cerraron

y como se desangra un nuevo corazón.



Pero como el amor de ayer,

pero como el amor de ayer,

vuelve a desaparecer,

desaparecer...



Estoy parado sobre la muralla que divide

todo lo que fue de lo que será.

Estoy mirando como aquella vieja psicodelia

estoy fijándome como viene y va.



Pero como el amor de ayer,

pero como el amor de ayer,

vuelve a desaparecer,

desaparecer...





(Gracias a Bastián Villouta por esta letra)"
La Muralla Verde,Los Enanitos Verdes,"Estoy parado sobre la muralla que divide

todo lo que fué de lo que será.

Estoy mirando como esas viejas ilusiones

pasando la muralla se hacen realidad.

Pero como el amor de ayer,

pero como el amor de ayer,

vuelve a desaparecer,

desaparecer...



Estoy parado sobre la muralla que divide

todo lo que amé de lo que amaré.

Estoy mirando como mis heridas se cerraron

y como se desangra un nuevo corazón.



Pero como el amor de ayer,

pero como el amor de ayer,

vuelve a desaparecer,

desaparecer...



Estoy parado sobre la muralla que divide

todo lo que fue de lo que será.

Estoy mirando como aquella vieja psicodelia

estoy fijándome como viene y va.



Pero como el amor de ayer,

pero como el amor de ayer,

vuelve a desaparecer,

desaparecer...





(Gracias a Bastián Villouta por esta letra)"
La Negra Tomasa,Caifanes,"Estoy tan enamorado de la negra Tomasa,

Que cuando se va de casa, triste me pongo.

Estoy tan enamorado de la negra Tomasa,

Que cuando se va de casa triste me pongo. 
Estoy tan enamorado de mi negra preciosa

Que cuando se va de casa triste me pongo.

Estoy tan enamorado de mi negra preciosa

Que cuando se va de casa triste me pongo. 



-Ay! -Ay! -Ay! 



Esa negra linda que me tiene loco,

Que me come poquito a poco.

Esa negra linda que me tiene loco,

Que me come poquito a poco. 



Estoy tan enamorado de la negra Tomasa

Que cuando se va de casa, triste me pongo.

Estoy tan enamorado de mi negra preciosa

Que cuando se va de casa triste me pongo. 



-Ay! -Ay! -Ay! 



Esa negra linda que me tiene loco,

Que me come poquito a poco.

Esa negra linda que me tiene loco

Que me come poquito a poco 



Mi negra linda nunca me dejes,

Ay mi negra linda nunca me dejes"
La Puerta de Alcalá,Ana Belén & Victor Manuel,"Eu e você
Não é assim tão complicado, não é difícil perceber
Quem de nós dois
Vai dizer que é impossível o amor acontecer
Se eu disser que já nem sinto nada
Que a estrada sem você é mais segura
Eu sei, você vai rir da minha cara
Eu já conheço o teu sorriso, leio o teu olhar
O teu sorriso é só disfarce, que eu já nem preciso...

Sinto dizer
Que amo mesmo, tá ruim pra disfarçar
Entre nós dois
Não cabe mais nenhum segredo além do que já combinamos
No vão das coisas que a gente disse
Não cabe mais sermos somente amigos
E quando eu falo que eu já nem quero
A frase fica pelo avesso, meio na contramão
E quando finjo que esqueço, eu não esqueci nada!

E cada vez que eu fujo, eu me aproximo mais
E te perder de vista assim é ruim demais
E é por isso que atravesso o teu futuro
E faço das lembranças um lugar seguro
Não é que eu queira reviver nenhum passado
Nem revirar um sentimento revirado
Mas toda vez que eu procuro uma saída
Acabo entrando sem querer na tua vida...

Eu procurei
Qualquer desculpa pra não te encarar
Pra não dizer
De novo e sempre a mesma coisa, falar só por falar
Que eu já não tô nem aí pra essa conversa
Que a história de nós dois não me interessa
Se eu tento esconder meias-verdades
Você conhece o meu sorriso, lê o meu olhar
O meu sorriso é só disfarce, o que eu já nem preciso!

E cada vez que eu fujo, eu me aproximo mais
E te perder de vista assim é ruim demais
E é por isso que atravesso o teu futuro
E faço das lembranças um lugar seguro
Não é que eu queira reviver nenhum passado
Nem revirar um sentimento revirado
Mas toda vez que eu procuro uma saída
Acabo entrando sem querer na tua vida..."
La rubia tarada,Sumo,"Caras conchetas, miradas berretas
Y hombres encajados en Fiorucci
Oigo: ""dame"" y ""quiero"" y ""no te metas""
""¿Te gustó el nuevo Bertolucci?""

La rubia tarada, bronceada, aburrida
Me dice ""¿Por qué te pelaste?""
Y yo ""Por el asco que dá tu sociedad.
Por el pelo de hoy ¿cuánto gastaste?""

Un pseudo punkito con el acento finito
Quiere hacerse el chico malo
Tuerce la boca se arregla el pelito
Toma un trago y vuelve a Belgrano

Basta! Me voy rumbo a la puerta
Y después a un boliche a la esquina
A tomar una ginebra con gente despierta
Esta si que es Argentina!"
